01133,285,636
13107,173,413
12121,455,959
17143,2932,5353
28005,110,253
24027,7832,13954
45021,516,1172
54041,132,285
13223,2888,6232
22021,67,145
51103,51,118
05101,86,190
36055,8049,13304
55059,2340,4295
31053,503,981
06097,6334,10468
18039,2062,4231
48107,84,197
48273,532,1046
17201,3004,5847
42069,2004,3336
13181,66,139
13121,41836,77749
28029,294,613
40123,456,920
48455,219,448
51155,426,792
51069,1489,2958
37041,89,185
54023,56,118
28015,124,287
29157,123,240
04009,396,941
13191,142,305
48409,1333,2796
29510,11055,20364
36031,411,699
50021,464,728
13209,104,233
26097,56,98
06089,2207,4115
21199,432,967
33017,2094,3364
08015,156,289
47129,199,433
35013,2889,6039
18023,440,934
20069,29,60
21043,168,363
12039,705,1503
55007,130,247
56009,135,255
05069,904,1768
13231,270,581
21067,5463,10088
22069,329,688
20061,1541,3787
26049,4935,9006
12069,6187,11647
45063,4974,9599
19087,151,290
27105,180,346
29195,168,337
12093,383,771
55001,269,473
27025,1075,2006
28089,1797,3546
39043,1083,1884
17111,5392,10033
46065,173,324
06049,52,114
17003,53,96
37067,5258,9469
42091,17733,29981
48147,500,1076
08045,808,1617
08029,272,563
49003,686,1548
17061,127,262
53065,513,1014
47041,268,594
33019,526,892
28063,48,109
40109,14119,27931
19155,1194,2300
01019,214,466
47091,50,104
37191,1327,2828
05121,160,331
19091,75,139
44007,9437,15768
19127,376,704
26123,730,1464
19135,24,49
17047,76,157
22045,1142,2550
29021,1051,1967
55021,1155,2066
29075,72,158
30063,1734,2812
53051,156,321
26137,217,411
05135,201,473
17155,89,147
40111,587,1282
55093,815,1401
41017,2587,4735
20107,89,172
30053,84,141
48069,33,86
47055,351,710
06067,23029,42942
28079,253,575
18015,387,818
26065,5884,10182
47077,284,595
21111,10342,19526
48031,111,187
51051,48,92
47161,135,276
51085,1653,2963
29045,38,82
42077,6055,10440
55041,21,43
02198,23,48
13101,54,145
40053,25,50
20167,30,54
29017,127,264
56013,237,431
39075,426,887
32015,52,117
26141,81,156
01081,2969,6365
05079,83,188
51161,2075,3852
28113,355,772
48219,262,589
55117,1019,1714
46115,34,68
56001,672,1071
50011,527,858
27055,167,290
18183,550,1052
37087,394,693
13301,41,93
20155,593,1073
22119,428,940
12086,46978,84182
29119,422,959
30027,51,73
12125,165,352
13313,1099,2589
06109,624,1116
45075,1094,2215
16017,463,962
27107,66,118
05041,173,391
37165,421,914
53067,5351,10281
29039,113,252
50003,208,365
08037,1147,1938
53063,5822,10653
47139,250,537
38035,929,1634
02290,83,167
46109,24,44
18037,352,631
01021,491,1076
55107,121,215
29107,447,871
05065,123,274
42107,1248,2131
38071,115,232
51141,111,237
22117,394,854
42031,319,549
28061,247,530
51043,198,370
47113,1543,3330
16055,1889,3471
48089,363,801
27139,2857,5353
37063,7716,14542
54015,49,109
02220,35,67
12077,79,174
21173,310,654
08085,448,900
19115,160,322
53027,949,1773
21089,419,910
51067,584,1131
18073,478,930
27153,314,582
23031,3118,4972
55049,376,729
30035,67,131
49025,44,84
40097,516,1093
31111,200,364
17199,708,1325
01109,362,770
36097,281,502
51197,178,358
21185,1000,1916
05093,421,941
24043,1974,3641
16027,3087,6672
56045,27,52
19101,88,173
06017,3440,5940
42013,746,1238
05031,1374,2865
56037,453,939
20043,73,154
29095,13053,23313
37111,305,649
