twitter14,IRS14,IRS14exempt
25,234,360
25,890,1794
25,420,633
25,69,88
25,100,130
25,0,0
25,1136,2291
25,893,1977
25,889,1502
25,2003,3886
25,728,1349
25,94,122
25,163,332
25,79,122
25,1675,3239
25,1740,3912
25,383,483
25,246,404
25,683,1113
25,368,503
25,410,591
25,352,505
25,641,1169
25,1164,2330
25,1044,2034
25,88,118
25,750,1668
25,235,301
25,101,173
25,609,1117
25,519,915
25,2538,5738
25,142,233
25,177,278
24,356,513
24,108,215
24,72,123
24,470,803
24,34,53
24,991,2012
24,198,346
24,724,1576
24,300,474
24,148,228
24,156,212
24,533,852
24,117,189
24,306,444
24,936,1644
24,132,172
24,1286,2768
24,240,391
24,1081,1926
24,410,677
24,262,397
24,836,1559
24,905,1726
24,485,859
24,2233,4521
24,464,745
24,115,179
24,207,270
24,527,918
24,119,178
24,842,1399
24,1232,2225
24,842,1589
24,446,768
24,992,1552
24,273,469
24,0,0
24,291,385
24,555,911
24,324,418
24,517,861
24,48,60
24,254,393
24,711,1154
24,1082,2240
23,231,363
23,141,231
23,653,1120
23,258,444
23,722,1515
23,147,241
23,628,1170
23,103,167
23,62,88
23,795,1558
23,3007,5898
23,702,1226
23,1552,2863
23,1446,2635
23,346,555
23,363,655
23,1072,1985
23,235,375
23,410,589
23,296,538
23,529,1018
23,100,166
23,1314,2803
23,666,1187
23,1597,3189
23,673,1386
23,594,938
23,1387,2969
23,195,327
23,941,1590
23,440,783
23,940,1660
23,182,232
23,168,210
23,1043,2128
23,992,2333
23,746,1537
23,440,822
23,2520,4729
23,728,1285
23,1104,2068
23,1026,1679
23,186,255
23,221,374
23,821,1957
23,1930,3423
23,274,340
23,595,1083
23,1856,3147
23,690,1492
23,1290,3005
23,93,141
23,670,1085
23,106,174
23,167,203
23,358,493
23,862,1565
23,335,636
23,173,285
23,123,172
23,315,567
22,230,324
22,1562,3069
22,249,373
22,663,1474
22,389,667
22,779,1511
22,285,432
22,954,2212
22,735,1525
22,698,1283
22,1881,3836
22,640,1024
22,178,259
22,184,269
22,133,236
22,696,1001
22,694,1352
22,132,205
22,202,347
22,91,102
22,1203,2422
22,769,1375
22,1085,2266
22,285,346
22,895,1579
22,631,1306
22,665,1189
22,652,1054
22,308,413
22,123,150
22,831,1661
22,1789,3421
22,2233,4432
22,360,612
22,434,926
22,500,808
22,837,1635
22,1183,1713
22,439,637
22,339,522
22,42,75
22,1855,4186
22,130,213
22,285,461
22,299,410
22,307,486
22,845,1364
22,627,1013
22,747,1605
22,71,129
22,1102,1976
22,44,66
22,1016,1790
22,1118,2215
22,1381,2556
22,390,763
22,200,318
22,1238,2540
22,153,197
22,755,1531
22,837,1382
22,289,459
22,154,226
22,249,354
22,239,328
22,121,229
22,333,557
22,231,386
22,385,706
21,262,482
21,228,399
21,237,374
21,206,277
21,436,845
21,220,422
21,249,393
21,89,148
21,649,1202
21,759,1503
21,462,747
21,579,929
21,285,372
21,0,0
21,29,48
21,49,86
21,130,205
21,604,945
21,373,629
21,516,832
21,1052,1837
21,659,1368
21,274,421
21,464,663
21,411,649
21,400,641
21,469,764
21,157,291
21,257,297
21,483,795
21,244,394
21,1134,2253
21,365,537
21,196,232
21,336,605
21,390,612
21,957,2376
21,311,504
21,2117,4456
21,859,1477
21,245,431
21,602,1153
21,265,508
21,58,81
21,257,364
21,171,199
21,322,512
21,732,1503
21,420,747
21,438,777
21,228,394
21,873,1613
21,162,263
21,298,583
21,108,169
21,358,652
21,87,127
21,1294,2503
21,1332,2969
21,174,321
21,447,797
21,109,186
21,148,188
21,602,1020
21,595,1220
21,1461,2448
21,1407,3134
21,623,999
21,1094,1892
20,153,226
20,459,938
20,136,173
20,1175,2726
20,979,1672
20,168,283
20,1357,2348
20,201,377
20,1532,3070
20,577,1063
20,25,44
20,343,560
20,795,1590
20,932,2188
20,320,677
20,1248,2411
20,55,111
20,264,420
20,2230,3789
20,555,1195
20,396,746
20,387,474
20,148,278
20,126,159
20,411,644
20,125,189
20,37,71
20,170,234
20,433,524
20,223,320
20,407,647
20,0,0
20,530,831
20,1748,3360
20,1525,3048
20,169,285
20,591,1080
20,196,242
20,167,244
20,507,840
20,184,225
20,707,1246
20,285,533
20,806,1576
20,170,245
20,306,533
20,103,148
20,124,174
20,69,112
